Date,CrudeOil,SP500
2016-04-14,41.5,2082.780029
2016-04-15,40.360001,2080.72998
2016-04-18,39.779999,2094.340088
2016-04-19,41.080002,2100.800049
2016-04-20,42.630001,2102.399902
2016-04-21,43.18,2091.47998
2016-04-22,43.73,2091.580078
2016-04-25,42.639999,2087.790039
2016-04-26,44.040001,2091.699951
2016-04-27,45.330002,2095.149902
2016-04-28,46.029999,2075.810059
2016-04-29,45.919998,2065.300049
2016-05-02,44.779999,2081.429932
2016-05-03,43.650002,2063.370117
2016-05-04,43.779999,2051.120117
2016-05-05,44.32,2050.629883
2016-05-06,44.66,2057.139893
2016-05-09,43.439999,2058.689941
2016-05-10,44.66,2084.389893
2016-05-11,46.23,2064.459961
2016-05-12,46.700001,2064.110107
2016-05-13,46.209999,2046.609985
2016-05-16,47.720001,2066.659912
2016-05-17,48.310001,2047.209961
2016-05-18,48.189999,2047.630005
2016-05-19,48.16,2040.040039
2016-05-20,47.75,2052.320068
2016-05-23,48.080002,2048.040039
2016-05-24,48.619999,2076.060059
2016-05-25,49.560001,2090.540039
2016-05-26,49.48,2090.100098
2016-05-27,49.330002,2099.060059
2016-05-31,49.099998,2096.949951
2016-06-01,49.009998,2099.330078
2016-06-02,49.169998,2105.26001
2016-06-03,48.619999,2099.129883
2016-06-06,49.689999,2109.409912
2016-06-07,50.360001,2112.129883
2016-06-08,51.23,2119.120117
2016-06-09,50.560001,2115.47998
2016-06-10,49.07,2096.070068
2016-06-13,48.880001,2079.060059
2016-06-14,48.490002,2075.320068
2016-06-15,48.009998,2071.5
2016-06-16,46.209999,2077.98999
2016-06-17,47.98,2071.219971
2016-06-20,49.369999,2083.25
2016-06-21,48.849998,2088.899902
2016-06-22,49.130001,2085.449951
2016-06-23,50.110001,2113.320068
2016-06-24,47.639999,2037.410034
2016-06-27,46.330002,2000.540039
2016-06-28,47.849998,2036.089966
2016-06-29,49.880001,2070.77002
2016-06-30,48.330002,2098.860107
2016-07-01,48.990002,2102.949951
2016-07-05,46.599998,2088.550049
2016-07-06,47.43,2099.72998
2016-07-07,45.139999,2097.899902
2016-07-08,45.41,2129.899902
2016-07-11,44.759998,2137.159912
2016-07-12,46.799999,2152.139893
2016-07-13,44.75,2152.429932
2016-07-14,45.68,2163.75
2016-07-15,45.950001,2161.73999
2016-07-18,45.240002,2166.889893
2016-07-19,44.650002,2163.780029
2016-07-20,44.939999,2173.02002
2016-07-21,44.75,2165.169922
2016-07-22,44.189999,2175.030029
2016-07-25,43.130001,2168.47998
2016-07-26,42.919998,2169.179932
2016-07-27,41.919998,2166.580078
2016-07-28,41.139999,2170.060059
2016-07-29,41.599998,2173.600098
2016-08-01,40.060001,2170.840088
2016-08-02,39.509998,2157.030029
2016-08-03,40.830002,2163.790039
2016-08-04,41.93,2164.25
2016-08-05,41.799999,2182.870117
2016-08-08,43.02,2180.889893
2016-08-09,42.77,2181.73999
2016-08-10,41.709999,2175.48999
2016-08-11,43.490002,2185.790039
2016-08-12,44.490002,2184.050049
2016-08-15,45.740002,2190.149902
2016-08-16,46.580002,2178.149902
2016-08-17,46.790001,2182.219971
2016-08-18,48.220001,2187.02002
2016-08-19,48.52,2183.870117
2016-08-22,47.049999,2182.639893
2016-08-23,48.099998,2186.899902
2016-08-24,46.77,2175.439941
2016-08-25,47.330002,2172.469971
2016-08-26,47.639999,2169.040039
2016-08-29,46.98,2180.379883
2016-08-30,46.349998,2176.120117
2016-08-31,44.700001,2170.949951
2016-09-01,43.16,2170.860107
2016-09-02,44.439999,2179.97998
2016-09-06,44.830002,2186.47998
2016-09-07,45.5,2186.159912
2016-09-08,47.619999,2181.300049
2016-09-09,45.880001,2127.810059
2016-09-12,46.290001,2159.040039
2016-09-13,44.900002,2127.02002
2016-09-14,43.580002,2125.77002
2016-09-15,43.91,2147.26001
2016-09-16,43.029999,2139.159912
2016-09-19,43.299999,2139.120117
2016-09-20,43.439999,2139.76001
2016-09-21,45.34,2163.120117
2016-09-22,46.32,2177.179932
2016-09-23,44.48,2164.689941
2016-09-26,45.93,2146.100098
2016-09-27,44.669998,2159.929932
2016-09-28,47.049999,2171.370117
2016-09-29,47.830002,2151.129883
2016-09-30,48.240002,2168.27002
2016-10-03,48.810001,2161.199951
2016-10-04,48.689999,2150.48999
2016-10-05,49.830002,2159.72998
2016-10-06,50.439999,2160.77002
2016-10-07,49.810001,2153.73999
2016-10-11,50.790001,2136.72998
2016-10-12,50.18,2139.179932
2016-10-13,50.439999,2132.550049
2016-10-14,50.349998,2132.97998
2016-10-17,49.939999,2126.5
2016-10-18,50.290001,2139.600098
2016-10-19,51.599998,2144.290039
2016-10-20,50.43,2141.340088
2016-10-21,50.849998,2141.159912
2016-10-24,50.52,2151.330078
2016-10-25,49.959999,2143.159912
2016-10-26,49.18,2139.429932
2016-10-27,49.720001,2133.040039
2016-10-28,48.700001,2126.409912
2016-10-31,46.860001,2126.149902
2016-11-01,46.669998,2111.719971
2016-11-02,45.34,2097.939941
